Nume,Email,"Facturare - Judet",Tip,Cui,Industrie,"Creat La"
"Inst. de Boli Cardiovasculare 'CC Iliescu'",ibcardio@gmail.com,,,4203628,,"2014-07-23 00:27:00"
"Institutul Clinic Fundeni",secretariat@icfundeni.ro,,,4204003,,"2014-09-07 12:04:00"
"Medlife SA",,,,RO8422035,,"2014-09-07 12:04:00"
"Sp. Universitar de Urgenta Elias",contact@spitalul-elias.ro,,,4192537,,"2014-09-07 12:04:00"
"Sp.Cl.de Urg.'SF Pantelimon'",scusfpant@yahoo.com,,,4203881,,"2014-09-07 12:04:00"
"Spit. Cl. Filantropia Bucuresti",office@spitalulfilantropia.ro,,,4532388,,"2014-09-07 12:04:00"
"Spital univ.de urgenta Bucuresti",secretariat@suub.ro,,,4283570,,"2014-09-07 12:04:00"
"Spitalul Cl.de Urgenta Floreasca",spital@urgentafloreasca.ro,,,4505332,,"2014-09-07 12:04:00"
"UM 02482",secretariat@scumc.ro,,,4364594,,"2014-09-07 12:04:00"
"Depozit Cluj",,,,,,"2014-09-21 17:42:00"
"Depozit Bucuresti",,,,,,"2014-09-21 17:42:00"
"Depozit Timisoara",,,,,,"2014-09-21 17:42:00"
"Depozit Braila",,,,,,"2014-09-21 17:42:00"
"Depozit Iasi",,,,,,"2014-09-21 17:42:00"
"Spital Clinic Sfanta Maria Bucuresti",,,,4382558,,"2014-09-29 14:20:00"
"Spital Clinic Prof.Dr.T.Burghele",contact@burghele.ro,,,4283538,,"2014-11-03 09:37:00"
"Spitalul de Obstetrică Ginecologie Buftea",,,,,,"2016-06-27 22:45:00"
"INCD MM Cantacuzino",office@cantacuzino.ro,,,15203810,,"2018-06-29 12:37:00"
"Spitalul Clinic nr.1 CF witting",,,,,,"2023-01-13 13:50:07"
"Birou Bucuresti",,,,RO14446373,,"2023-07-26 11:21:20"
"Societatea Romana de Hematologie",,,,8270794,,"2023-07-27 14:55:00"
"Institutul Nat.de Medicina Legala ""M.Minovici""",,,,4420554,,"2023-08-01 15:22:28"
"CENTRUL DE DIAGNOSTIC SI TRATAMENT PROVITA SA",,,,RO28472640,,"2023-11-22 13:50:07"
"UM 0149 F",,,,4283635,,"2024-04-11 10:51:16"
