Nume,"Contract Manager","Status Contract","Tip Contract","Valoare Contract","Data Terminare",Organizatie
"Contract prestari servicii 273/11.05.2016","Doru Alecsandru",Semnat,"Acord Cadru",333333,2017-04-30,"Spitalul Jud. Slobozia - CUI: 4231768"
"Contract de Prestari Servicii 4095/25.07.2016","Doru Alecsandru",Semnat,"Acord Cadru",0,2017-07-01,"Cardiomedsal SRL - CUI: RO26673744"
"Contract subsecvent de servicii nr.172/12.01.2017","Doru Alecsandru",Semnat,"Acord Cadru",4500,2017-04-12,"Sp. Jud. de Urg. Targoviste - CUI: 4206845"
"Contract subsecvent de servicii 172/12.01.2017","Doru Alecsandru",Semnat,"Acord Cadru",4500,2017-04-12,"Sp. Jud. de Urg. Targoviste - CUI: 4206845"
"Contract subsecvent de servicii nr.300/10.03.2017","Doru Alecsandru",Semnat,"Acord Cadru",3000,2017-12-31,"Sp.Jud.de Urgenta Alexandria - CUI: 4253650"
"Contract subsecvent de servicii nr.1627/13.04.2017","Doru Alecsandru",Semnat,"Acord Cadru",9000,2017-10-13,"Sp. Jud. de Urg. Targoviste - CUI: 4206845"
"Contract de prestari servicii nr.414/30.05.2017","Doru Alecsandru",Semnat,"Acord Cadru",0,2018-05-30,"Spitalul Jud. Slobozia - CUI: 4231768"
"Contract subsecvent nr.1313/23.12.2022 la Acordul cadru nr.151/07.02.2022","Doru Alecsandru",Semnat,"Contract subsecvent",20500,2023-04-30,"Spital Clinic Sfanta Maria Bucuresti - CUI: 4382558"
"Contract subsecvent nr.1315/23.12.2022 la Acordul Cadru nr.147/07.02.2022","Doru Alecsandru",Semnat,"Contract subsecvent",2400,2023-04-30,"Spital Clinic Sfanta Maria Bucuresti - CUI: 4382558"
"Acord-cadru de prestari servicii nr.58108/28.10.2022","Doru Alecsandru",Semnat,"Acord Cadru",1495300,2023-04-28,"Spitalul Jud. de Urgenta Constanta - CUI: 4301103"
"Contract subsecvent de prestari servicii nr.24962/16.09.2022","Doru Alecsandru",Semnat,"Contract subsecvent",10600,2022-10-15,"Spital Clinic Urgenta SF Ioan Bucuresti - CUI: 4204178"
"Contract subsecvent de prestari servicii nr.27861/14.10.2022","Doru Alecsandru",Semnat,"Contract subsecvent",10600,2022-11-15,"Spital Clinic Urgenta SF Ioan Bucuresti - CUI: 4204178"
"Contract subsecvent de furnizare nr.1031/07.03.2023 la Acordul cadru nr.559/02.08.2022","Doru Alecsandru",Semnat,"Contract subsecvent",1200,2023-04-30,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332"
"Contract de servicii nr.4082/17.02.2023","Doru Alecsandru",Semnat,"Contract de prestari servicii",10600,2023-03-16,"Spital Clinic Urgenta SF Ioan Bucuresti - CUI: 4204178"
"Contract de servicii nr.1158/17.01.2023","Doru Alecsandru",Semnat,"Contract de prestari servicii",10600,2023-02-16,"Spital Clinic Urgenta SF Ioan Bucuresti - CUI: 4204178"
