Producator,Nume,Model,Serie,Activ,Functional,Organizatie,Sectie,"Nume (crm vechi)"
,,,NHC0039,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,"Biowind B500"
,Spotchem,,,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,Spotchem
ACV,"Hemochron Signature Elite",Elite,9147,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,"Hemochron Signature Elite"
TMC,"Gastat 1830",,1021432,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,"Gastat 1830"
,,,2656,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,Minibio
,,,2657,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,Minibio
,,,2778,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,Minibio
,,,2779,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,Minibio
,,,MT75-09265,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,"Monnal T75"
,Pathfast,,1902D3364,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,PATHFAST
,Pathfast,,1907D3561,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",,PATHFAST
,,,21B25029,Nu,Nu,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,"VitaPCR "
MCE,Pathfast,D,1905D3483,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,Pathfast
CRD,VitaPCR,PCR,21L06065,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",Pediatrie,VitaPCR
CRD,VitaPCR,PCR,21L28019,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,VitaPCR
,Pathfast,C,1502c227,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",ATI,Pathfast
ENT,VCM,VCM,A47190048,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,
TMC,"Gastat 735",735,09311904,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",Pediatrie,
TMC,"Gastat 735",735,06024206,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",ATI,
TMC,"Gastat 735",735,06022206,Da,Da,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",UPU,
