Subiect,"Status Intalnire","Data Incepere",Organizatie,"Scopul Vizitei","Atribuit Lui"
Cardiologie,,2024-03-18,,"Reintroducere Pathfast.",
UPU,,2024-03-18,,"Reintroducere Pathfast.",
Financiar,,2024-03-18,,"Restanta de plata.",
Unyvero,,2024-03-04,,"Discutii dupa transmitere oferte.",
ATI,,2024-03-04,,"Discutii pe tema VCM.",
Achizitii,,2024-03-04,,"Licitatie Gastat",
CPU,,2024-03-04,,"Prezentare beneficii Gastat.",
Unyvero,,2024-03-12,,"Contract vanzare cumparare Unyvero.",
Unyvero,,2024-03-12,,"Discutii privind comanda Unyvero",
Pathfast,,2024-03-12,,"Referat marker",
"Ventilator T60",,2024-03-12,,"T60 este prins in planul de achizitii.",
"Aparate noi UPU",,2024-03-12,,"Prezentare echipamente noi.",
VCM,,2024-03-12,,"Status teste VCM",
Financiar,,2024-03-12,,"Facturi scadente.",
UPU,,2024-03-21,,"Referat marker",
Achizitii,,2024-03-21,,"Contracte subsecvente.",
VCM,,2024-03-21,,"Referat consumabile VCM",
Contract,,2024-03-21,,"Ridicare act aditional VCM.",
ATI,,2024-03-21,,"Discutii Presepsina si Procalcitonina.",
"Icon 5",,2024-03-08,,"Instalare,instructaj personal impreuna cu Adrian Simion si Razvan Dinescu",
Birou,,2024-03-22,,,
Birou,,2024-03-20,,,
Birou,,2024-03-15,,,
Birou,,2024-03-13,,,
Birou,,2024-03-11,,,
Birou,,2024-03-06,,,
Birou,,2024-03-01,,,
Licitatie,,2024-02-20,,"Licitatie reactivi Gastat",
"Aparate noi",,2024-02-20,,"Discutii generale Gastat.",
UPU,,2024-02-20,,"Informatii introducere Gastat.",
Financiar,,2024-02-14,,"Facturi scadente.",
Achizitii,,2024-02-14,,Licitatii,
"Gastat 735",,2024-02-14,,"Oferta si specificatii Gastat 735.",
"Plan achizitii",,2024-02-06,,"Plan achizitii 2024.",
Achizitii,,2024-02-06,,"Contracte subsecvente.",
"Gastat 735",,2024-02-06,,"Discutii introducere Gastat.",
UPU,,2024-02-06,,"Referat marker.",
Manager,,2024-02-26,,"Managerul a fost schimbat.Interimar este Directorul financiar.",
Pathfast,,2024-02-26,,"Reintroducere Pathfast.",
