Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Eroare Flow Sensor FSW","Fara Factura",Cerere,"Spitalul Jud. de Urgenta Constanta - CUI: 4301103",Inchis,"Nivel Ridicat",2023-10-31,2023-10-31,"Gastat 735","Victor Vlad"
"Predare echipament dupa reparatie si verificare conform P.V. 8821 din 27.11.2023","Fara Factura",Cerere,"PONDERAS - CUI: ",Inchis,"Nivel Ridicat",2023-11-27,2023-11-27,Valleylab,"Victor Vlad"
"Ridicare echipament pentru verificare conform P.V. nr. 7848 din 11.12.2023","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2023-12-11,2023-12-11,Valleylab,"Victor Vlad"
"Returnare echipament reparat conform P.V. nr. 7897 din 12.12.2023","Cu Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2023-12-12,2023-12-12,Valleylab,"Victor Vlad"
"Ridicare echipament in vederea depanarii conform P.V. 7898 din 12.12.2023","Fara Factura",Cerere,"Spitalul Jud. Buzau - CUI: 4055750",Inchis,"Nivel Ridicat",2023-12-12,2023-12-12,"Hemochron Signature Elite","Victor Vlad"
"Preluare echipament defect","Fara Factura",Cerere,"Institutul Clinic Fundeni - CUI: 4204003",Inchis,"Nivel Ridicat",2024-01-12,2024-01-12,Valleylab,"Victor Vlad"
"Predare Echipament dupa reparare","Fara Factura",Cerere,"Institutul Clinic Fundeni - CUI: 4204003",Inchis,"Nivel Ridicat",2024-01-12,2024-01-12,Valleylab,"Victor Vlad"
"Ridicare echipament Valleylab Force FX","Fara Factura",Cerere,"Sanador SRL - CUI: RO 12530000",Inchis,"Nivel Ridicat",2024-01-17,2024-01-17,Valleylab,"Victor Vlad"
"Ridicare echipament Valleylab FT10","Fara Factura",Cerere,"UM 02175 - CUI: 4301383",Inchis,"Nivel Ridicat",2024-01-17,2024-01-17,Valleylab,"Victor Vlad"
"Verificare analizor de markeri cardiaci Pathfast Tip D","Fara Factura",Cerere,"Spital Clinic de copii ''Dr.V.Gomoiu'' - CUI: 4283759",Inchis,"Nivel Ridicat",2024-01-11,2024-01-11,Pathfast,"Victor Vlad"
